,loss_sum,reconstruction_loss,kl_loss
0,1325.8404541015625,231.4903106689453,1094.35009765625
1,501.8850402832031,129.87509155273438,372.00994873046875
2,630.1005859375,198.50112915039062,431.5994873046875
3,504.7174072265625,128.0,376.7174072265625
4,294.4960632324219,136.628662109375,157.86740112304688
5,512.6898803710938,142.57337951660156,370.11651611328125
6,496.34210205078125,155.76483154296875,340.5772705078125
7,826.6993408203125,147.90548706054688,678.7938232421875
8,739.4217529296875,191.07742309570312,548.3443603515625
9,972.4561767578125,211.1865997314453,761.2695922851562
10,516.4722290039062,186.33245849609375,330.1397705078125
11,750.6575927734375,160.58335876464844,590.07421875
12,1033.513427734375,156.66757202148438,876.8458251953125
13,582.1162109375,128.0,454.1162414550781
14,735.9404296875,132.43551635742188,603.5049438476562
